EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,POC,POC_FLAG_W,PON,PON_FLAG_W,CHLORA,CHLORA_FLAG_W,PPHYTN,PPHYTN_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C,UG/KG,,UG/KG,,UG/KG,,UG/KG,,DEG C
  096U20160426,  P15S,     1,  1,     27,   2027,2,20160427,0659,-45.5031, 149.3977, 4304,   3026.8,   1.7920,  34.7330,2,  34.7326,2,    192.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5659
  096U20160426,  P15S,     1,  1,     29,   2029,2,20160427,0659,-45.5031, 149.3977, 4304,   3028.0,   1.7910,  34.7330,2,  34.7379,2,    192.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5647
  096U20160426,  P15S,     1,  1,     32,   2032,2,20160427,0659,-45.5031, 149.3977, 4304,   3028.0,   1.7920,  34.7330,2,  34.7331,2,    192.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5657
  096U20160426,  P15S,     1,  1,     33,   2033,2,20160427,0659,-45.5031, 149.3977, 4304,   3028.7,   1.7910,  34.7330,2,  34.7327,2,    192.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5647
  096U20160426,  P15S,     1,  1,     34,   2034,2,20160427,0659,-45.5031, 149.3977, 4304,   3029.0,   1.7910,  34.7330,2,  34.7331,2,    192.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5647
  096U20160426,  P15S,     1,  1,     36,   2036,2,20160427,0659,-45.5031, 149.3977, 4304,   3029.0,   1.7910,  34.7330,2,  34.7327,2,    192.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5647
  096U20160426,  P15S,     1,  1,     35,   2035,2,20160427,0659,-45.5031, 149.3977, 4304,   3029.1,   1.7910,  34.7330,2,  34.7332,2,    192.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,     -999,9,   -999.0,9,   -999.0,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   1.5646
  096U20160426,  P15S,     2,  1,     36,   2036,2,20160504,1146,-66.3330,-169.9982, 3308,      5.8,  -1.5040,  34.0710,2,  34.0868,2,    355.4,2,    345.6,2,    63.77,2,    28.40,2,     0.22,2,     1.98,2,    6.080,2,    3.230,2,    3.559,2,   2195.3,2,   2303.6,2,   7.5932,4,    25.00,    23.46,2,     5.55,2,     0.50,2,    -0.01,3,  -1.5041
  096U20160426,  P15S,     2,  1,     35,   2035,2,20160504,1146,-66.3330,-169.9982, 3308,     20.3,  -1.5030,  34.0710,2,  34.0767,2,    355.1,2,    345.4,2,    63.74,2,    28.40,2,     0.22,2,     1.98,2, -999.000,9, -999.000,9,     -999,9,   2193.2,2,   2303.6,2,   7.6088,4,    25.00,  -999.00,9,  -999.00,9,     0.68,2,     0.04,3,  -1.5034
  096U20160426,  P15S,     2,  1,     34,   2034,2,20160504,1146,-66.3330,-169.9982, 3308,     40.5,  -1.4910,  34.0700,2,  34.0875,2,    355.2,2,    345.8,2,    63.75,2,    28.37,2,     0.22,2,     1.98,2,    6.049,2,    3.233,2,    3.516,2,   2195.5,2,   2304.8,2,   7.6186,4,    25.00,  -999.00,9,  -999.00,9,     0.68,2,     0.04,3,  -1.4919
